riis on geniaaln,CPU Name,Cores,Price,CPU Mark,CPU Value,Thread Mark,Thread Value,TDP (W),Power Perf.,Test Date,Socket,Category
,Intel Core i7-11800H @ 2.30GHz,8,$395.00*,"21,688",54.91,"3,156",7.99,45,481.95,May 2021,FCBGA1787,Laptop
,Intel Core i7-1185G7 @ 3.00GHz,4,$426.00*,"10,997",25.81,"2,906",6.82,15,733.12,Jul 2020,BGA1526,Laptop
,Intel Core i7-1185GRE @ 2.80GHz,4,NA,"9,165",NA,"2,835",NA,15,610.99,Apr 2021,FCBGA1449,Mobile/Embedded
,Intel Core i7-12700K,8,$409.00*,"30,369",74.25,"3,949",9.66,190,159.84,Nov 2021,FCLGA1700,Desktop
,Intel Core i7-2600 @ 3.40GHz,4,$127.18,"5,331",41.91,"1,741",13.69,95,56.11,Dec 2010,LGA1155,Desktop
,Intel Core i7-2600S @ 2.80GHz,4,$287.00,"4,389",15.29,"1,659",5.78,65,67.52,Feb 2011,LGA1155,Desktop
,Intel Core i7-2617M @ 1.50GHz,2,NA,"1,687",NA,"1,092",NA,17,99.22,May 2011,BGA1023,Laptop
,Intel Core i7-2630QM @ 2.00GHz,4,$93.24*,"3,525",37.80,"1,212",13.00,45,78.33,Jan 2011,PGA988B,Laptop
,Intel Core i7-2635QM @ 2.00GHz,4,NA,"3,466",NA,"1,235",NA,45,77.01,Feb 2011,BGA1224,Laptop
,Intel Core i7-2640M @ 2.80GHz,2,$125.05*,"2,400",19.19,"1,471",11.77,35,68.56,Oct 2011,BGA1023,Laptop
,Intel Core i7-2670QM @ 2.20GHz,4,$129.00*,"3,776",29.27,"1,338",10.37,45,83.92,Sep 2011,PGA988B,Laptop
,Intel Core i7-2677M @ 1.80GHz,2,NA,"1,993",NA,"1,240",NA,17,117.26,Jul 2011,BGA1023,Laptop
,Intel Core i7-2710QE @ 2.10GHz,4,NA,"3,704",NA,"1,384",NA,45,82.30,Sep 2011,PGA988B,Laptop
,Intel Core i7-2720QM @ 2.20GHz,4,$179.95*,"4,075",22.64,"1,378",7.66,45,90.55,Jan 2011,BGA1224,Laptop
,Intel Core i7-2820QM @ 2.30GHz,4,$329.95*,"4,392",13.31,"1,534",4.65,45,97.60,Feb 2011,BGA1224,Laptop
,Intel Core i7-2860QM @ 2.50GHz,4,$182.01*,"4,557",25.04,"1,568",8.62,45,101.28,Sep 2011,BGA1224,Laptop
,Intel Core i7-2960XM @ 2.70GHz,4,$399.95*,"4,423",11.06,"1,491",3.73,55,80.41,Oct 2011,PGA988B,Laptop
,Intel Core i7-3517UE @ 1.70GHz,2,NA,"2,141",NA,"1,205",NA,17,125.92,Jun 2012,BGA1023,Laptop
,Intel Core i7-3537U @ 2.00GHz,2,NA,"2,374",NA,"1,472",NA,17,139.62,Jan 2013,BGA1023,Laptop
,Intel Core i7-3555LE @ 2.50GHz,2,NA,"1,880",NA,980,NA,25,75.20,Jun 2012,BGA1023,Laptop
,Intel Core i7-3610QM @ 2.30GHz,4,$399.99*,"5,086",12.72,"1,658",4.15,45,113.02,Apr 2012,PGA988B,Laptop
,Intel Core i7-3612QM @ 2.10GHz,4,NA,"4,507",NA,"1,508",NA,35,128.76,May 2012,"PGA988B, FCBGA12",Laptop
,Intel Core i7-3615QM @ 2.30GHz,4,NA,"5,170",NA,"1,746",NA,45,114.88,May 2012,BGA1224,Laptop
,Intel Core i7-3632QM @ 2.20GHz,4,$89.90,"4,562",50.74,"1,562",17.37,35,130.34,Sep 2012,rPGA988B,Laptop
,Intel Core i7-3667U @ 2.00GHz,2,NA,"2,488",NA,"1,562",NA,17,146.35,Jun 2012,BGA1023,Laptop
,Intel Core i7-3689Y @ 1.50GHz,2,NA,"1,642",NA,984,NA,13,126.29,Jan 2013,FCBGA1023,Laptop
,Intel Core i7-3740QM @ 2.70GHz,4,$218.02*,"5,691",26.10,"1,881",8.63,45,126.46,Sep 2012,rPGA988B,Laptop
,Intel Core i7-3770K @ 3.50GHz,4,$190.27,"6,434",33.82,"2,081",10.94,77,83.56,Apr 2012,LGA1155,Desktop
,Intel Core i7-3770T @ 2.50GHz,4,$182.28*,"5,569",30.55,"1,927",10.57,45,123.76,May 2012,LGA1155,Desktop
,Intel Core i7-3820QM @ 2.70GHz,4,$549.00*,"5,783",10.53,"1,934",3.52,45,128.52,May 2012,BGA1224,Laptop
,Intel Core i7-3920XM @ 2.90GHz,4,"$1,096.00*","5,767",5.26,"1,910",1.74,55,104.86,May 2012,FCPGA988,Laptop
,Intel Core i7-3940XM @ 3.00GHz,4,$179.99*,"5,671",31.51,"1,930",10.73,55,103.10,Oct 2012,rPGA988B,Laptop
,Intel Core i7-3970X @ 3.50GHz,6,$186.99,"8,322",44.51,"1,833",9.80,150,55.48,Jan 2012,LGA2011,Desktop
,Intel Core i7-4510U @ 2.00GHz,2,NA,"2,584",NA,"1,547",NA,15,172.24,May 2014,FCBGA1168,Laptop
,Intel Core i7-4558U @ 2.80GHz,2,NA,"2,993",NA,"1,829",NA,28,106.89,Jan 2013,BGA1168,Laptop
,Intel Core i7-4578U @ 3.00GHz,2,NA,"2,949",NA,"1,871",NA,28,105.32,Sep 2014,FCBGA1168,Laptop
,Intel Core i7-4600U @ 2.10GHz,2,NA,"2,690",NA,"1,672",NA,15,179.31,Jul 2013,FCBGA1168,Laptop
,Intel Core i7-4610Y @ 1.70GHz,2,NA,"2,446",NA,"1,583",NA,11.5,212.67,Jan 2013,BGA1168,Desktop
,Intel Core i7-4700EQ @ 2.40GHz,4,NA,"4,941",NA,"1,842",NA,47,105.12,Jun 2013,FCBGA1364,Desktop
,Intel Core i7-4700MQ @ 2.40GHz,4,$353.00*,"5,329",15.10,"1,773",5.02,47,113.39,Jun 2013,rPGA946B,Laptop
,Intel Core i7-4702MQ @ 2.20GHz,4,$352.05*,"5,094",14.47,"1,687",4.79,37,137.67,Jan 2013,FCPGA946,Laptop
,Intel Core i7-4710MQ @ 2.50GHz,4,$271.57*,"5,815",21.41,"1,901",7.00,47,123.72,Apr 2014,FCPGA946,Laptop
,Intel Core i7-4712MQ @ 2.30GHz,4,NA,"5,205",NA,"1,785",NA,37,140.66,May 2014,FCPGA946,Laptop
,Intel Core i7-4722HQ @ 2.40GHz,4,NA,"5,620",NA,"1,844",NA,37,151.88,Jul 2015,FCBGA1364,Laptop
,Intel Core i7-4760HQ @ 2.10GHz,4,NA,"6,300",NA,"1,944",NA,47,134.05,Oct 2014,FCBGA1364,Laptop
,Intel Core i7-4770 @ 3.40GHz,4,$196.99,"7,033",35.70,"2,173",11.03,84,83.73,Jun 2013,LGA1150,Desktop
,Intel Core i7-4770K @ 3.50GHz,4,$329.99,"7,117",21.57,"2,162",6.55,84,84.73,Jun 2013,LGA1150,Desktop
,Intel Core i7-4770S @ 3.10GHz,4,$184.99,"6,770",36.59,"2,132",11.53,65,104.15,Jun 2013,LGA1150,Desktop
,Intel Core i7-4770TE @ 2.30GHz,4,NA,"4,257",NA,"1,458",NA,45,94.60,Jul 2015,LGA1150,Desktop
,Intel Core i7-4785T @ 2.20GHz,4,NA,"5,421",NA,"1,748",NA,35,154.89,Jun 2014,FCLGA1150,Desktop
,Intel Core i7-4790K @ 4.00GHz,4,$205.69,"8,056",39.16,"2,469",12.00,88,91.54,Jun 2014,LGA1150,Desktop
,Intel Core i7-4790T @ 2.70GHz,4,$199.88*,"6,291",31.48,"2,100",10.51,45,139.81,May 2014,LGA1150,Desktop
,Intel Core i7-4810MQ @ 2.80GHz,4,$179.95*,"6,082",33.80,"2,019",11.22,47,129.40,Mar 2014,FCPGA946,Laptop
,Intel Core i7-4850HQ @ 2.30GHz,4,$434.00*,"6,229",14.35,"1,984",4.57,47,132.54,Jul 2013,FCBGA1364,Laptop
,Intel Core i7-4860HQ @ 2.40GHz,4,NA,"6,084",NA,"1,889",NA,47,129.46,Aug 2014,FCBGA1364,Laptop
,Intel Core i7-4900MQ @ 2.80GHz,4,$556.00*,"6,042",10.87,"1,941",3.49,47,128.55,Jan 2013,FCPGA946,Laptop
,Intel Core i7-4930K @ 3.40GHz,6,$177.25,"9,363",52.82,"1,971",11.12,130,72.02,Jan 2013,LGA2011,Desktop
,Intel Core i7-4940MX @ 3.10GHz,4,$699.95*,"7,047",10.07,"2,284",3.26,57,123.63,Mar 2014,"FPGA946,FPGA947",Laptop
,Intel Core i7-4960X @ 3.60GHz,6,"$1,850.00","9,836",5.32,"2,069",1.12,130,75.66,Jan 2013,LGA2011,Desktop
,Intel Core i7-5500U @ 2.40GHz,2,NA,"2,717",NA,"1,635",NA,15,181.10,Jan 2015,FCBGA1168,Laptop
,Intel Core i7-5557U @ 3.10GHz,2,$605.99*,"3,116",5.14,"1,895",3.13,28,111.28,Mar 2015,FCBGA1168,Laptop
,Intel Core i7-5650U @ 2.20GHz,2,NA,"3,130",NA,"2,014",NA,15,208.64,Mar 2015,FCBGA1168,Laptop
,Intel Core i7-5700EQ @ 2.60GHz,4,NA,"5,905",NA,"2,124",NA,47,125.64,Aug 2015,FCBGA1364,Laptop
,Intel Core i7-5775C @ 3.30GHz,4,$174.95,"7,797",44.57,"2,319",13.26,65,119.96,Jun 2015,FCLGA1150,Desktop
,Intel Core i7-5820K @ 3.30GHz,6,$397.00,"9,840",24.79,"2,017",5.08,140,70.28,Sep 2014,LGA2011-v3,Desktop
,Intel Core i7-5850HQ @ 2.70GHz,4,$434.00*,"6,866",15.82,"2,219",5.11,47,146.08,Dec 2015,FCBGA1364,Laptop
,Intel Core i7-5950HQ @ 2.90GHz,4,NA,"7,759",NA,"2,344",NA,47,165.08,Jul 2015,FCBGA1364,Laptop
,Intel Core i7-610E @ 2.53GHz,2,NA,"1,818",NA,"1,400",NA,35,51.93,Nov 2011,BGA1288,Laptop
,Intel Core i7-620M @ 2.67GHz,2,$100.01*,"1,994",19.93,"1,283",12.82,35,56.96,Jan 2010,BGA1288,Laptop
,Intel Core i7-640LM @ 2.13GHz,2,NA,"1,610",NA,"1,161",NA,25,64.39,Feb 2010,BGA1288,Laptop
,Intel Core i7-640UM @ 1.20GHz,2,NA,"1,090",NA,817,NA,18,60.53,Jun 2010,BGA1288,Laptop
,Intel Core i7-6500U @ 2.50GHz,2,$393.00*,"3,281",8.35,"1,713",4.36,15,218.71,Sep 2015,FCBGA1356,Laptop
,Intel Core i7-6567U @ 3.30GHz,2,NA,"3,895",NA,"2,084",NA,28,139.10,Feb 2016,FCBGA1356,Laptop
,Intel Core i7-660UM @ 1.33GHz,2,NA,"1,272",NA,927,NA,18,70.64,Nov 2010,BGA1288,Laptop
,Intel Core i7-6660U @ 2.40GHz,2,$415.00*,"3,873",9.33,"1,979",4.77,15,258.20,Aug 2018,FCBGA1356,Laptop
,Intel Core i7-6700HQ @ 2.60GHz,4,$378.00*,"6,552",17.33,"1,920",5.08,45,145.61,Aug 2015,FCBGA1440,Laptop
,Intel Core i7-6700T @ 2.80GHz,4,"$1,999.00*","7,271",3.64,"2,108",1.05,35,207.75,Oct 2015,LGA 1151,Desktop
,Intel Core i7-6770HQ @ 2.60GHz,4,$619.00*,"7,252",11.72,"1,974",3.19,45,161.16,Apr 2016,FCBGA1440,Laptop
,Intel Core i7-680UM @ 1.47GHz,2,NA,"1,046",NA,773,NA,18,58.11,Feb 2011,BGA1288,Laptop
,Intel Core i7-6820HK @ 2.70GHz,4,$378.00*,"7,043",18.63,"1,987",5.26,45,156.52,Oct 2015,FCBGA1440,Laptop
,Intel Core i7-6822EQ @ 2.00GHz,4,NA,"5,241",NA,"1,572",NA,25,209.63,Feb 2016,LGA 1151,Laptop
,Intel Core i7-6900K @ 3.20GHz,8,$250.00,"14,080",56.32,"2,372",9.49,140,100.57,Jun 2016,FCLGA2011-3,Desktop
,Intel Core i7-6950X @ 3.00GHz,10,$379.58,"17,056",44.93,"2,341",6.17,140,121.83,Jun 2016,LGA2011-v3,Desktop
,Intel Core i7-740QM @ 1.73GHz,4,$99.95*,"1,763",17.64,"1,002",10.03,45,39.18,Jun 2010,PGA988A,Laptop
,Intel Core i7-7560U @ 2.40GHz,2,NA,"3,798",NA,"2,008",NA,15,253.18,Mar 2017,BGA1356,Laptop
,Intel Core i7-7600U @ 2.80GHz,2,NA,"3,608",NA,"1,970",NA,15,240.55,Jan 2017,FCBGA1356,Laptop
,Intel Core i7-7700 @ 3.60GHz,4,$393.66,"8,619",21.89,"2,473",6.28,65,132.60,Dec 2016,LGA1151,Desktop
,Intel Core i7-7700K @ 4.20GHz,4,$358.99,"9,683",26.97,"2,744",7.64,95,101.93,Oct 2016,LGA 1151,Desktop
,Intel Core i7-7740X @ 4.30GHz,4,$200.00,"9,814",49.07,"2,800",14.00,112,87.63,Jul 2017,FCLGA2066,Desktop
,Intel Core i7-7820EQ @ 3.00GHz,4,$378.00*,"7,453",19.72,"2,207",5.84,45,165.63,Jun 2019,FCBGA1440,Laptop
,Intel Core i7-7820HQ @ 2.90GHz,4,$378.00*,"7,163",18.95,"2,138",5.66,45,159.17,Feb 2017,FCBGA1440,Laptop
,Intel Core i7-7900X @ 3.30GHz,10,NA,"19,358",NA,"2,610",NA,140,138.27,Aug 2017,FCLGA2066,Desktop
,Intel Core i7-7Y75 @ 1.30GHz,2,NA,"2,629",NA,"1,576",NA,4.5,584.12,Oct 2016,FCBGA1515,"Desktop, Laptop"
,Intel Core i7-820QM @ 1.73GHz,4,$129.00*,"1,737",13.46,"1,003",7.77,45,38.60,Oct 2009,PGA988A,Laptop
,Intel Core i7-8500Y @ 1.50GHz,2,$393.00*,"2,839",7.22,"1,641",4.17,5,567.76,Oct 2018,FCBGA1515,Laptop
,Intel Core i7-8557U @ 1.70GHz,4,$431.00*,"8,225",19.08,"2,571",5.96,15,548.35,Dec 2019,FCBGA1528,Laptop
,Intel Core i7-8565U @ 1.80GHz,4,$615.00*,"6,361",10.34,"2,253",3.66,15,424.10,Aug 2018,FCBGA1356,Laptop
,Intel Core i7-8569U @ 2.80GHz,4,$431.00*,"8,494",19.71,"2,759",6.40,28,303.34,Feb 2020,FCBGA1528,Laptop
,Intel Core i7-860S @ 2.53GHz,4,$160.00,"2,725",17.03,"1,413",8.83,82,33.24,Apr 2011,LGA1156,Desktop
,Intel Core i7-8665U @ 1.90GHz,4,$704.49*,"6,515",9.25,"2,278",3.23,15,434.36,Apr 2019,FCBGA1528,Laptop
,Intel Core i7-870 @ 2.93GHz,4,$229.95,"3,051",13.27,"1,401",6.09,95,32.11,Sep 2009,LGA1156,Desktop
,Intel Core i7-8700B @ 3.20GHz,6,$303.00*,"12,425",41.01,"2,749",9.07,65,191.16,Jan 2019,FCBGA1440,Laptop
,Intel Core i7-8700T @ 2.40GHz,6,$351.37,"10,655",30.32,"2,363",6.72,35,304.42,Mar 2018,FCLGA1151-2,Desktop
,Intel Core i7-8706G @ 3.10GHz,4,NA,"8,136",NA,"2,519",NA,65,125.16,Jul 2018,BGA2270,Laptop
,Intel Core i7-870S @ 2.67GHz,4,NA,"2,786",NA,"1,270",NA,82,33.97,Dec 2010,LGA1156,Desktop
,Intel Core i7-875K @ 2.93GHz,4,$379.98,"3,082",8.11,"1,381",3.63,95,32.45,Jun 2010,LGA1156,Desktop
,Intel Core i7-8809G @ 3.10GHz,4,NA,"8,776",NA,"2,460",NA,100,87.76,Mar 2018,BGA2270,Laptop
,Intel Core i7-920 @ 2.67GHz,4,$227.21*,"2,717",11.96,"1,222",5.38,130,20.90,Nov 2008,LGA1366,Desktop
,Intel Core i7-930 @ 2.80GHz,4,$25.97,"2,869",110.49,"1,282",49.35,130,22.07,Feb 2010,LGA1366,Desktop
,Intel Core i7-940XM @ 2.13GHz,4,NA,"2,250",NA,"1,158",NA,55,40.92,Jul 2010,PGA988,Laptop
,Intel Core i7-960 @ 3.20GHz,4,$134.48,"3,245",24.13,"1,458",10.84,130,24.96,Oct 2009,LGA1366,Desktop
,Intel Core i7-970 @ 3.20GHz,6,$520.00*,"6,736",12.95,"1,495",2.88,130,51.82,Jul 2010,LGA1366,Desktop
,Intel Core i7-9700E @ 2.60GHz,8,$323.00*,"11,544",35.74,"2,566",7.95,65,177.60,Nov 2020,FCLGA1151-2,Desktop
,Intel Core i7-9700K @ 3.60GHz,8,$305.98,"14,564",47.60,"2,909",9.51,95,153.30,Oct 2018,FCLGA1151-2,Desktop
,Intel Core i7-9700T @ 2.00GHz,8,$323.00*,"10,671",33.04,"2,457",7.61,35,304.89,Jul 2019,FCLGA1151-2,Desktop
,Intel Core i7-975 @ 3.33GHz,4,$127.96,"3,311",25.88,"1,504",11.75,130,25.47,Jun 2009,LGA1366,Desktop
,Intel Core i7-9750HF @ 2.60GHz,6,$395.00*,"11,541",29.22,"2,552",6.46,45,256.47,Jan 2020,FCBGA1440,Laptop
,Intel Core i7-9800X @ 3.80GHz,8,$699.99,"18,291",26.13,"2,613",3.73,165,110.85,Dec 2018,FCLGA2066,Desktop
,Intel Core i7-985 @ 3.47GHz,4,NA,"3,928",NA,"1,579",NA,NA,NA,Nov 2014,LGA1366,Unknown
,Intel Core i7-9850HL @ 1.90GHz,6,$395.00*,"9,112",23.07,"2,139",5.42,25,364.49,Dec 2019,FCBGA1440,"Desktop, Laptop"
,Intel Core i7-995X @ 3.60GHz,6,NA,"7,079",NA,"1,683",NA,NA,NA,Sep 2010,Unknown,Desktop
,Intel Core i9-10880H @ 2.30GHz,8,NA,"15,064",NA,"2,805",NA,45,334.75,Jul 2020,FCBGA1440,Laptop
,Intel Core i9-10900 @ 2.80GHz,10,$411.73,"20,702",50.28,"3,064",7.44,65,318.50,May 2020,FCLGA1200,Desktop
,Intel Core i9-10900F @ 2.80GHz,10,$409.99,"21,039",51.32,"3,076",7.50,65,323.68,Jul 2020,FCLGA1200,Desktop
,Intel Core i9-10900KF @ 3.70GHz,10,$437.99,"23,760",54.25,"3,136",7.16,125,190.08,Jun 2020,FCLGA1200,Desktop
,Intel Core i9-10900TE @ 1.80GHz,10,$444.00*,"17,888",40.29,"2,684",6.05,35,511.09,Mar 2021,FCLGA1200,Mobile/Embedded
,Intel Core i9-10910 @ 3.60GHz,10,NA,"21,492",NA,"3,112",NA,125,171.94,Aug 2020,FCLGA1200,Desktop
,Intel Core i9-10940X @ 3.30GHz,14,$799.98,"28,784",35.98,"2,727",3.41,165,174.45,Dec 2019,FCLGA2066,Desktop
,Intel Core i9-10980XE @ 3.00GHz,18,$999.99,"33,726",33.73,"2,673",2.67,165,204.40,Dec 2019,FCLGA2066,Desktop
,Intel Core i9-11900F @ 2.50GHz,8,$419.99,"24,206",57.64,"3,542",8.43,65,372.40,Apr 2021,FCLGA1200,Desktop
,Intel Core i9-11900K @ 3.50GHz,8,$459.96,"25,671",55.81,"3,492",7.59,125,205.37,Jan 2021,FCLGA1200,Desktop
,Intel Core i9-11900KF @ 3.50GHz,8,$449.99,"25,770",57.27,"3,603",8.01,125,206.16,Apr 2021,FCLGA1200,Desktop
,Intel Core i9-11950H @ 2.60GHz,8,$556.00*,"22,855",41.11,"3,333",5.99,45,507.88,Jun 2021,FCBGA1787,Laptop
,Intel Core i9-12900K,8,$618.77,"37,602",60.77,"4,143",6.69,241,156.03,Nov 2021,FCLGA1700,Desktop
,Intel Core i9-7900X @ 3.30GHz,10,$347.99,"21,403",61.51,"2,601",7.47,140,152.88,Jun 2017,FCLGA2066,Desktop
,Intel Core i9-7940X @ 3.10GHz,14,$549.14,"26,677",48.58,"2,494",4.54,165,161.68,Sep 2017,FCLGA2066,Desktop
,Intel Core i9-7980XE @ 2.60GHz,18,$841.15,"29,551",35.13,"2,459",2.92,165,179.10,Sep 2017,FCLGA2066,Desktop
,Intel Core i9-9820X @ 3.30GHz,10,$703.97,"18,240",25.91,"2,406",3.42,165,110.55,Dec 2018,FCLGA2066,Desktop
,Intel Core i9-9900 @ 3.10GHz,8,$403.98,"17,005",42.09,"2,880",7.13,65,261.61,Jul 2019,FCLGA1151-2,Desktop
,Intel Core i9-9900KF @ 3.60GHz,8,$349.94,"18,772",53.64,"2,973",8.50,95,197.60,Apr 2019,FCLGA1151-2,Desktop
,Intel Core i9-9900T @ 2.10GHz,8,$439.00*,"13,896",31.65,"2,500",5.70,35,397.03,Nov 2019,FCLGA1151-2,Desktop
,Intel Core i9-9920X @ 3.50GHz,12,"$1,419.95","25,246",17.78,"2,626",1.85,165,153.01,Dec 2018,FCLGA2066,Desktop
,Intel Core i9-9960X @ 3.10GHz,16,"$1,049.00","31,144",29.69,"2,648",2.52,165,188.75,Feb 2019,FCLGA2066,Desktop
,Intel Core i9-9980XE @ 3.00GHz,18,"$1,247.99","32,072",25.70,"2,566",2.06,165,194.38,Dec 2018,FCLGA2066,Desktop
,Intel Core M-5Y10 @ 0.80GHz,2,NA,"1,795",NA,"1,077",NA,4.5,398.95,Aug 2014,Unknown,Laptop
,Intel Core M-5Y10c @ 0.80GHz,2,$281.00*,"1,766",6.29,"1,073",3.82,4.5,392.48,Jan 2015,FCBGA1234,Laptop
,Intel Core M-5Y51 @ 1.10GHz,2,NA,"2,140",NA,"1,384",NA,4.5,475.63,Apr 2015,FCBGA1234,Laptop
,Intel Core M-5Y71 @ 1.20GHz,2,$281.00*,"2,203",7.84,"1,419",5.05,4.5,489.58,Jan 2015,FCBGA1234,Laptop
,Intel Core m3-7Y30 @ 1.00GHz,2,NA,"2,582",NA,"1,419",NA,4.5,573.79,Oct 2016,FCBGA1515,Laptop
,Intel Core m3-8100Y @ 1.10GHz,2,$281.00*,"3,019",10.74,"1,792",6.38,5,603.73,Dec 2018,FCBGA1515,Laptop
,Intel Core m5-6Y57 @ 1.10GHz,2,NA,"2,370",NA,"1,355",NA,7,338.56,Dec 2015,FCBGA1515,Laptop
,Intel Core m7-6Y75 @ 1.20GHz,2,NA,"2,306",NA,"1,389",NA,7,329.43,Nov 2015,FCBGA1515,Laptop
,Intel Core Solo T1350 @ 1.86GHz,1,NA,194,NA,413,NA,31,6.26,Feb 2009,Unknown,Laptop
,Intel Core Solo U1300 @ 1.06GHz,1,NA,127,NA,340,NA,6,21.21,Aug 2009,PBGA479,Laptop
,Intel Core Solo U1500 @ 1.33GHz,1,NA,164,NA,375,NA,5.5,29.77,Mar 2009,Unknown,Laptop
,Intel Core2 Duo E4400 @ 2.00GHz,2,$42.50*,656,15.42,773,18.20,65,10.08,Dec 2008,LGA775,Desktop
,Intel Core2 Duo E4600 @ 2.40GHz,2,$157.95*,778,4.92,909,5.76,65,11.96,Dec 2008,LGA775,Desktop
,Intel Core2 Duo E6300 @ 1.86GHz,2,$127.61*,586,4.59,692,5.42,65,9.02,Nov 2008,"LGA775, PLGA775",Desktop
,Intel Core2 Duo E6400 @ 2.13GHz,2,$29.94*,787,26.30,846,28.26,65,12.11,Mar 2009,LGA775,Desktop
,Intel Core2 Duo E6540 @ 2.33GHz,2,NA,808,NA,969,NA,65,12.43,May 2009,LGA775,Desktop
,Intel Core2 Duo E6600 @ 2.40GHz,2,$35.09*,889,25.33,953,27.17,65,13.67,Nov 2008,PLGA775,Desktop
,Intel Core2 Duo E6750 @ 2.66GHz,2,$10.30*,992,96.27,"1,050",101.93,65,15.25,Nov 2008,LGA775,Desktop
,Intel Core2 Duo E7200 @ 2.53GHz,2,$47.00*,976,20.76,"1,088",23.15,65,15.01,Dec 2008,LGA775,Desktop
,Intel Core2 Duo E7400 @ 2.80GHz,2,$14.99*,965,64.41,"1,088",72.59,65,14.85,Dec 2008,LGA775,Desktop
,Intel Core2 Duo E7600 @ 3.06GHz,2,$119.95*,"1,153",9.62,"1,280",10.67,65,17.75,Jun 2009,LGA775,Desktop
,Intel Core2 Duo E8135 @ 2.66GHz,2,NA,"1,099",NA,"1,144",NA,NA,NA,Mar 2009,Socket P,Laptop
,Intel Core2 Duo E8235 @ 2.80GHz,2,NA,995,NA,"1,113",NA,NA,NA,Mar 2009,Socket P,Laptop
,Intel Core2 Duo E8300 @ 2.83GHz,2,$19.99*,"1,034",51.71,"1,169",58.47,65,15.90,Dec 2008,LGA775,Desktop
,Intel Core2 Duo E8335 @ 2.93GHz,2,NA,"1,187",NA,"1,206",NA,NA,NA,Jun 2009,Socket P,Laptop
,Intel Core2 Duo E8435 @ 3.06GHz,2,$59.99*,"1,240",20.67,"1,307",21.78,NA,NA,Mar 2009,Socket P,Laptop
,Intel Core2 Duo E8600 @ 3.33GHz,2,$38.99*,"1,330",34.12,"1,399",35.88,65,20.47,Nov 2008,LGA775,Desktop
,Intel Core2 Duo L7300 @ 1.40GHz,2,NA,550,NA,635,NA,17,32.37,Jun 2009,BGA479,Laptop
,Intel Core2 Duo L7500 @ 1.60GHz,2,NA,575,NA,600,NA,17,33.83,Feb 2009,BGA479,Laptop
,Intel Core2 Duo L7800 @ 2.00GHz,2,NA,680,NA,622,NA,NA,NA,Dec 2012,Unknown,Unknown
,Intel Core2 Duo L9600 @ 2.13GHz,2,NA,892,NA,914,NA,17,52.46,Oct 2009,BGA956,Laptop
,Intel Core2 Duo P7370 @ 2.00GHz,2,NA,790,NA,793,NA,25,31.58,Dec 2008,PGA478,Laptop
,Intel Core2 Duo P7550 @ 2.26GHz,2,$229.99*,915,3.98,951,4.13,25,36.61,Jun 2009,PGA478,Laptop
,Intel Core2 Duo P8400 @ 2.26GHz,2,$297.01*,827,2.78,923,3.11,25,33.06,Dec 2008,BGA479,Laptop
,Intel Core2 Duo P8700 @ 2.53GHz,2,$84.95*,943,11.10,"1,040",12.24,25,37.73,Mar 2009,BGA479,Laptop
,Intel Core2 Duo P9300 @ 2.26GHz,2,NA,909,NA,855,NA,NA,NA,Mar 2009,Unknown,Laptop
,Intel Core2 Duo P9600 @ 2.53GHz,2,$99.00*,"1,012",10.22,"1,075",10.86,25,40.46,Aug 2009,PGA478,Laptop
,Intel Core2 Duo P9700 @ 2.80GHz,2,NA,"1,109",NA,"1,151",NA,28,39.61,Jun 2009,PGA478,Laptop
,Intel Core2 Duo SP9400 @ 2.40GHz,2,$284.00*,988,3.48,966,3.40,25,39.52,Mar 2009,BGA956,Laptop
,Intel Core2 Duo T5200 @ 1.60GHz,2,NA,409,NA,559,NA,34,12.04,Feb 2009,Socket M,Laptop
,Intel Core2 Duo T5270 @ 1.40GHz,2,NA,496,NA,586,NA,35,14.17,Nov 2008,PGA478,Laptop
,Intel Core2 Duo T5450 @ 1.66GHz,2,NA,535,NA,569,NA,35,15.29,Jan 2009,PGA478,Laptop
,Intel Core2 Duo T5500 @ 1.66GHz,2,NA,510,NA,594,NA,34,15.01,Feb 2009,PGA478,Laptop
,Intel Core2 Duo T5600 @ 1.83GHz,2,NA,634,NA,715,NA,34,18.64,Dec 2008,PGA478,Laptop
,Intel Core2 Duo T5750 @ 2.00GHz,2,$9.99*,657,65.79,724,72.52,35,18.78,Dec 2008,Socket P,Laptop
,Intel Core2 Duo T5850 @ 2.16GHz,2,$27.79*,705,25.36,797,28.69,NA,NA,Mar 2009,Socket P,Laptop
,Intel Core2 Duo T5900 @ 2.20GHz,2,NA,668,NA,772,NA,NA,NA,Mar 2009,Socket P,Laptop
,Intel Core2 Duo T6500 @ 2.10GHz,2,$14.99*,690,46.03,837,55.84,35,19.71,Jun 2009,PGA478,Laptop
,Intel Core2 Duo T6600 @ 2.20GHz,2,$39.97*,750,18.77,849,21.25,35,21.44,Feb 2009,PGA478,Laptop
,Intel Core2 Duo T7100 @ 1.80GHz,2,$14.99*,616,41.07,697,46.53,35,17.59,Feb 2009,BGA479,Laptop
,Intel Core2 Duo T7250 @ 2.00GHz,2,$201.48*,691,3.43,773,3.83,35,19.73,Feb 2009,BGA479,Laptop
,Intel Core2 Duo T7400 @ 2.16GHz,2,$149.95*,702,4.68,774,5.16,34,20.65,Jul 2010,BGA479,Laptop
